Aenigmarchaeota_archaeon_JGI_0000106-F11	Aenigmarchaeota_archaeon
Acaryochloris_marina	Acaryochloris_marina
Acaryochloris_sp._CCMEE_5410	Acaryochloris_sp._CCMEE_5410
Acidiphilium_angustum	Acidiphilium_angustum
Aegilops_tauschii	Aegilops_tauschii
Alexandrium_tamarense	Alexandrium_tamarense
Amborella_trichopoda	Amborella_trichopoda
Amorphochlora_amoebiformis	Amorphochlora_amoebiformis
Amphiprora_paludosa	Amphiprora
Anabaena_cylindrica_PCC_7122	Anabaena_cylindrica_PCC_7122
Anabaena_sp._90	Anabaena_sp._90
Anabaena_variabilis_ATCC_29413	Anabaena_variabilis_ATCC_29413
Ankylochrysis_lutea	Ankylochrysis_lutea
Aphanizomenon_flos-aquae	Aphanizomenon_flos-aquae
Aphanocapsa_montana_BDHKU210001	Aphanocapsa_montana_BDHKU210001
Arabidopsis_lyrata_subsp._lyrata	Arabidopsis_lyrata_subsp._lyrata
Arabidopsis_thaliana	Arabidopsis_thaliana
Arabis_alpina	Arabis_alpina
Arthrospira_maxima_CS-328	Arthrospira_maxima_CS-328
Arthrospira_platensis	Arthrospira_platensis
Asterionellopsis_glacialis	Asterionellopsis_glacialis
Astrosyne_radiata	Astrosyne_radiata
Aureococcus_anophagefferens	Aureococcus_anophagefferens
Aureoumbra_lagunensis	Aureoumbra_lagunensis
Auxenochlorella_protothecoides	Auxenochlorella_protothecoides
Avena_sativa	Avena_sativa
Beta_vulgaris_subsp._vulgaris	Beta_vulgaris_subsp._vulgaris
Bigelowiella_natans_CCMP2755	Bigelowiella_natans_CCMP2755
Bolidomonas_pacifica	Bolidomonas_pacifica
Brachypodium_distachyon	Brachypodium_distachyon
Brassica_napus	Brassica_napus
Brassica_rapa	Brassica_rapa
Calcidiscus_leptoporus	Calcidiscus_leptoporus
Calliarthron_tuberculosum	Calliarthron_tuberculosum
Calothrix_parietina	Calothrix_parietina
Calothrix_sp._336	Calothrix_sp._336
Calothrix_sp._PCC_7103	Calothrix_sp._PCC_7103
Calothrix_sp._PCC_7507	Calothrix_sp._PCC_7507
Camelina_sativa	Camelina_sativa
Candidatus_Synechococcus_spongiarum	Candidatus_Synechococcus_spongiarum
Capsella_rubella	Capsella_rubella
Chaetoceros_cf._neogracile	Chaetoceros_cf._neogracile
