Acaryochloris_marina_WP_012161777.1	Acaryochloris_marina
Acaryochloris_sp._CCMEE_5410_WP_010471703.1	Acaryochloris_sp._CCMEE_5410
Acidiphilium_angustum_ATCC_35903_WP_029314395	Acidiphilium_angustum
Actinoplanes_sp._N902109-SDR_N902109_WP_041832207	Actinoplanes_sp._N902-109-SDR
Aegilops_tauschii_EMT17316.1	Aegilops_tauschii
Alexandrium_tamarense_CCMP1771_CAMPEP_0116198620	Alexandrium_tamarense_1
Alexandrium_tamarense_CCMP1771_CAMPEP_0116262482	Alexandrium_tamarense_2
Alexandrium_tamarense_CCMP1771_CAMPEP_0116383026	Alexandrium_tamarense_3
Amborella_trichopoda_XP_006827825.1	Amborella_trichopoda
Amorphochlora_amoebiformis_CCMP2058_CAMPEP_0118603732	Amorphochlora_amoebiformis
Amphiprora_paludosa-Amphiprora_sp._CCMP467_CAMPEP_0168721130	Amphiprora_sp._CCMP467_2
Amphiprora_paludosa-Amphiprora_sp._CCMP467_CAMPEP_0168735950	Amphiprora_sp._CCMP467_1
Anabaena_cylindrica_PCC_7122_WP_015212876.1	Anabaena_cylindrica_PCC_7122
Anabaena_sp._90_WP_015078463.1	Anabaena_sp._90
Anabaena_variabilis_ATCC_29413_ABA19920.1	Anabaena_variabilis_ATCC_29413
Ankylochrysis_lutea_AJA04991.1	Ankylochrysis_lutea_2
Ankylochrysis_lutea_AJA04992.1	Ankylochrysis_lutea_1
Aphanizomenon_flos-aquae_WP_027401313.1	Aphanizomenon_flos-aquae
Aphanocapsa_montana_BDHKU210001_KIF16317.1	Aphanocapsa_montana_BDHKU210001
Arabidopsis_lyrata_subsp._lyrata_XP_002862155.1	Arabidopsis_lyrata_subsp._lyrata
Arabidopsis_thaliana-PORA_NP200230	Arabidopsis_thaliana-PORA
Arabidopsis_thaliana-PORB_NP194474	Arabidopsis_thaliana-PORB
Arabidopsis_thaliana-PORC_NP171860	Arabidopsis_thaliana-PORC
Arabis_alpina_KFK27036.1	Arabis_alpina_2
Arabis_alpina_KFK42711.1	Arabis_alpina_1
Arthrospira_maxima_CS-328_EDZ94147.1	Arthrospira_maxima_CS-328
Arthrospira_platensis_WP_006619211.1	Arthrospira_platensis
Asterionellopsis_glacialis_AJA04988.1	Asterionellopsis_glacialis_2
Asterionellopsis_glacialis_AJA04989.1	Asterionellopsis_glacialis_1
Astrosyne_radiata_13vi08-1A_CAMPEP_0116827642	Astrosyne_radiata_2
Astrosyne_radiata_13vi08-1A_CAMPEP_0116832798	Astrosyne_radiata_1
Aureococcus_anophagefferens_CCMP1850_CAMPEP_0168899492	Aureococcus_anophagefferens_1
